GAMMA: 1e-06, RE: 0.0359, SAD: 0.2416, RMSE: 0.1444
GAMMA: 5e-06, RE: 0.0345, SAD: 0.1860, RMSE: 0.1476
GAMMA: 1e-05, RE: 0.0315, SAD: 0.2538, RMSE: 0.1587
GAMMA: 5e-05, RE: 0.0376, SAD: 0.2128, RMSE: 0.1486
GAMMA: 0.0001, RE: 0.0378, SAD: 0.2185, RMSE: 0.1648
GAMMA: 0.0005, RE: 0.0356, SAD: 0.1262, RMSE: 0.1329
GAMMA: 0.001, RE: 0.0342, SAD: 0.1192, RMSE: 0.1486
GAMMA: 0.005, RE: 0.0341, SAD: 0.0997, RMSE: 0.1395
GAMMA: 0.01, RE: 0.0457, SAD: 0.1268, RMSE: 0.1346
GAMMA: 0.05, RE: 0.0556, SAD: 0.0867, RMSE: 0.1264
GAMMA: 0.1, RE: 0.0658, SAD: 0.0818, RMSE: 0.1550
GAMMA: 0.5, RE: 0.0824, SAD: 0.1911, RMSE: 0.2024
GAMMA: 1, RE: 0.0834, SAD: 0.3434, RMSE: 0.2720
