LR: 0.001, WD: 4e-05, RE: 0.0869, SAD: 0.2080, RMSE: 0.2884
LR: 0.002, WD: 4e-05, RE: 0.0617, SAD: 0.3001, RMSE: 0.1943
LR: 0.003, WD: 4e-05, RE: 0.0597, SAD: 0.2823, RMSE: 0.1987
LR: 0.004, WD: 4e-05, RE: 0.0479, SAD: 0.2986, RMSE: 0.1948
LR: 0.005, WD: 4e-05, RE: 0.0472, SAD: 0.2857, RMSE: 0.1945
LR: 0.006, WD: 4e-05, RE: 0.0503, SAD: 0.0895, RMSE: 0.1223
LR: 0.007, WD: 4e-05, RE: 0.0541, SAD: 0.0951, RMSE: 0.1189
LR: 0.008, WD: 4e-05, RE: 0.0660, SAD: 0.2649, RMSE: 0.1396
LR: 0.009, WD: 4e-05, RE: 0.0625, SAD: 0.1096, RMSE: 0.1687
LR: 0.009, WD: 1e-05, RE: 0.0721, SAD: 0.1474, RMSE: 0.2523
LR: 0.009, WD: 2e-05, RE: 0.0666, SAD: 0.1265, RMSE: 0.2247
LR: 0.009, WD: 3e-05, RE: 0.0742, SAD: 0.1536, RMSE: 0.2114
LR: 0.009, WD: 4e-05, RE: 0.0608, SAD: 0.0984, RMSE: 0.1432
LR: 0.009, WD: 5e-05, RE: 0.0521, SAD: 0.1194, RMSE: 0.1185
LR: 0.009, WD: 6e-05, RE: 0.0518, SAD: 0.1064, RMSE: 0.1269
LR: 0.009, WD: 7e-05, RE: 0.0402, SAD: 0.1458, RMSE: 0.1469
LR: 0.009, WD: 8e-05, RE: 0.0389, SAD: 0.1359, RMSE: 0.1461
LR: 0.009, WD: 9e-05, RE: 0.0474, SAD: 0.1200, RMSE: 0.1263
