GAMMA: 1e-06, RE: 0.0102, SAD: 0.3042, RMSE: 0.2566
GAMMA: 5e-06, RE: 0.0106, SAD: 0.1910, RMSE: 0.1456
GAMMA: 1e-05, RE: 0.0099, SAD: 0.2827, RMSE: 0.1835
GAMMA: 5e-05, RE: 0.0096, SAD: 0.2140, RMSE: 0.1707
GAMMA: 0.0001, RE: 0.0080, SAD: 0.1636, RMSE: 0.1355
GAMMA: 0.0005, RE: 0.0080, SAD: 0.1778, RMSE: 0.1366
GAMMA: 0.001, RE: 0.0174, SAD: 0.1733, RMSE: 0.1274
GAMMA: 0.005, RE: 0.0195, SAD: 0.2681, RMSE: 0.3141
GAMMA: 0.01, RE: 0.0196, SAD: 0.2894, RMSE: 0.2678
GAMMA: 0.05, RE: 0.0233, SAD: 0.3016, RMSE: 0.2863
GAMMA: 0.1, RE: 0.0372, SAD: 0.3380, RMSE: 0.3180
GAMMA: 0.5, RE: 0.0407, SAD: 0.3099, RMSE: 0.2609
GAMMA: 1, RE: 0.0711, SAD: 0.4348, RMSE: 0.3837
