GAMMA: 1e-06, RE: 0.0152, SAD: 0.1099, RMSE: 0.0697
GAMMA: 5e-06, RE: 0.0287, SAD: 0.0751, RMSE: 0.0650
GAMMA: 1e-05, RE: 0.0185, SAD: 0.1070, RMSE: 0.0532
GAMMA: 5e-05, RE: 0.0178, SAD: 0.0797, RMSE: 0.0541
GAMMA: 0.0001, RE: 0.0155, SAD: 0.1314, RMSE: 0.0660
GAMMA: 0.0005, RE: 0.0245, SAD: 0.1346, RMSE: 0.0805
GAMMA: 0.001, RE: 0.0115, SAD: 0.1421, RMSE: 0.0899
GAMMA: 0.005, RE: 0.0324, SAD: 0.0467, RMSE: 0.0664
GAMMA: 0.01, RE: 0.0167, SAD: 0.0961, RMSE: 0.0747
GAMMA: 0.05, RE: 0.0300, SAD: 0.0760, RMSE: 0.0781
GAMMA: 0.1, RE: 0.0552, SAD: 0.0448, RMSE: 0.1273
GAMMA: 0.5, RE: 0.0684, SAD: 0.0430, RMSE: 0.1660
GAMMA: 1, RE: 0.0679, SAD: 0.0444, RMSE: 0.1844
