LR: 0.001, WD: 4e-05, RE: 0.0133, SAD: 0.1215, RMSE: 0.1450
LR: 0.002, WD: 4e-05, RE: 0.0136, SAD: 0.1176, RMSE: 0.1359
LR: 0.003, WD: 4e-05, RE: 0.0149, SAD: 0.1077, RMSE: 0.1254
LR: 0.004, WD: 4e-05, RE: 0.0147, SAD: 0.0975, RMSE: 0.1107
LR: 0.005, WD: 4e-05, RE: 0.0171, SAD: 0.0893, RMSE: 0.0891
LR: 0.006, WD: 4e-05, RE: 0.0193, SAD: 0.0839, RMSE: 0.0770
LR: 0.007, WD: 4e-05, RE: 0.0306, SAD: 0.0746, RMSE: 0.0721
LR: 0.008, WD: 4e-05, RE: 0.0487, SAD: 0.0271, RMSE: 0.1223
LR: 0.009, WD: 4e-05, RE: 0.0694, SAD: 0.0459, RMSE: 0.2536
LR: 0.006, WD: 1e-05, RE: 0.0729, SAD: 0.0491, RMSE: 0.2701
LR: 0.006, WD: 2e-05, RE: 0.0448, SAD: 0.0397, RMSE: 0.1012
LR: 0.006, WD: 3e-05, RE: 0.0341, SAD: 0.0629, RMSE: 0.0720
LR: 0.006, WD: 4e-05, RE: 0.0426, SAD: 0.0540, RMSE: 0.0963
LR: 0.006, WD: 5e-05, RE: 0.0166, SAD: 0.1019, RMSE: 0.0883
LR: 0.006, WD: 6e-05, RE: 0.0187, SAD: 0.0914, RMSE: 0.0721
LR: 0.006, WD: 7e-05, RE: 0.0145, SAD: 0.1172, RMSE: 0.0987
LR: 0.006, WD: 8e-05, RE: 0.0152, SAD: 0.0977, RMSE: 0.0919
LR: 0.006, WD: 9e-05, RE: 0.0163, SAD: 0.0899, RMSE: 0.0901
